task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,Logistic Regression,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5261937331032821,0.035549514877861156,0.536778998011883,0.5438852772466539,0.5368818633575444,0.5585465188251514,0.6086956521739131,9.344740629196167
stress_classification,SVM,eeg,zscore,within_subject,last_60s,77,3853.6,963.4,0.48587103175073876,0.03310300040337021,0.4937479513671207,0.5389734926823154,0.5141974692757101,0.48431372222864316,0.5579710144927537,77.85838508605957
stress_classification,Logistic Regression,physio,zscore,within_subject,last_90s,10,3853.6,963.4,0.5837697878917177,0.09695802210134444,0.5956228812355253,0.5958069460358452,0.5918074048845948,0.6282541309578671,0.6518518518518519,2.5235142707824707
stress_classification,Random Forest,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5047791002372625,0.04177998674600595,0.5201254534000486,0.49824945990911573,0.5045788154780355,0.5093421515211337,0.5620437956204379,25.259806394577026
stress_classification,Random Forest,all,zscore,within_subject,last_90s,87,3853.6,963.4,0.5376464016950255,0.086250249412472,0.5455075908599045,0.554223327432833,0.5477633929823286,0.5541011592560778,0.6204379562043796,28.147974014282227
stress_classification,XGBoost,physio,subtract,within_subject,full,10,3853.6,963.4,0.5557043741404663,0.03162701229452231,0.5607408904594415,0.5792540963543422,0.5677721616397244,0.5690130900354896,0.6444444444444445,194.68898224830627
stress_classification,SVM,physio,zscore,within_subject,last_90s,10,3853.6,963.4,0.5759246806246601,0.0602006584967909,0.5912657069596334,0.5829105524358187,0.5806286450139201,0.6037514584069805,0.6594202898550725,32.722535371780396
stress_classification,Neural Network (MLP),all,zscore,within_subject,last_90s,87,3853.6,963.4,0.5274738802107546,0.05216100625060201,0.5340530237514791,0.5544549202959473,0.5423168012116825,0.5395709230687763,0.625,32.294782400131226
stress_classification,Neural Network (MLP),eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.4978937192042589,0.025310206471012703,0.5059199041557061,0.4945851711795443,0.498515195864398,0.5026826858637965,0.5661764705882353,33.92125749588013
stress_classification,K-Nearest Neighbors,physio,zscore,within_subject,last_90s,10,3853.6,963.4,0.5355442714014172,0.059183443975696685,0.5496408365623682,0.5481403727839128,0.5446462014964311,0.5527398603732083,0.6521739130434783,3.7981319427490234
